threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,predicted_fraud_count,false_positive_cost,false_negative_cost,business_cost
0.8400000000000001,0.16952380952380952,0.9081632653061225,0.2857142857142857,56428,436,9,89,525,1.0,20.0,616.0
0.85,0.17693836978131214,0.9081632653061225,0.2961730449251248,56450,414,9,89,503,1.0,20.0,594.0
0.86,0.18200408997955012,0.9081632653061225,0.30323679727427605,56464,400,9,89,489,1.0,20.0,580.0
0.87,0.18816067653276955,0.9081632653061225,0.3117338003502627,56480,384,9,89,473,1.0,20.0,564.0
0.88,0.1951219512195122,0.8979591836734694,0.3205828779599271,56501,363,10,88,451,1.0,20.0,563.0
0.89,0.20512820512820512,0.8979591836734694,0.33396584440227706,56523,341,10,88,429,1.0,20.0,541.0
0.9,0.21307506053268765,0.8979591836734694,0.34442270058708413,56539,325,10,88,413,1.0,20.0,525.0
0.91,0.22857142857142856,0.8979591836734694,0.36438923395445133,56567,297,10,88,385,1.0,20.0,497.0
0.9188888888888889,0.24175824175824176,0.8979591836734694,0.380952380952381,56588,276,10,88,364,1.0,20.0,476.0
0.9277777777777778,0.25507246376811593,0.8979591836734694,0.3972911963882618,56607,257,10,88,345,1.0,20.0,457.0
0.9366666666666666,0.2716049382716049,0.8979591836734694,0.41706161137440756,56628,236,10,88,324,1.0,20.0,436.0
0.9455555555555556,0.2913907284768212,0.8979591836734694,0.43999999999999995,56650,214,10,88,302,1.0,20.0,414.0
0.9544444444444444,0.31316725978647686,0.8979591836734694,0.4643799472295514,56671,193,10,88,281,1.0,20.0,393.0
0.9633333333333334,0.34509803921568627,0.8979591836734694,0.4985835694050991,56697,167,10,88,255,1.0,20.0,367.0
0.9722222222222222,0.3826086956521739,0.8979591836734694,0.5365853658536585,56722,142,10,88,230,1.0,20.0,342.0
0.981111111111111,0.4416243654822335,0.8877551020408163,0.5898305084745763,56754,110,11,87,197,1.0,20.0,330.0
0.99,0.5058823529411764,0.8775510204081632,0.6417910447761194,56780,84,12,86,170,1.0,20.0,324.0
0.991,0.5212121212121212,0.8775510204081632,0.6539923954372623,56785,79,12,86,165,1.0,20.0,319.0
0.992,0.5341614906832298,0.8775510204081632,0.6640926640926641,56789,75,12,86,161,1.0,20.0,315.0
0.993,0.5483870967741935,0.8673469387755102,0.6719367588932806,56794,70,13,85,155,1.0,20.0,330.0
0.994,0.5629139072847682,0.8673469387755102,0.6827309236947792,56798,66,13,85,151,1.0,20.0,326.0
0.995,0.5782312925170068,0.8673469387755102,0.6938775510204082,56802,62,13,85,147,1.0,20.0,322.0
0.996,0.6115107913669064,0.8673469387755102,0.7172995780590716,56810,54,13,85,139,1.0,20.0,314.0
0.997,0.631578947368421,0.8571428571428571,0.7272727272727273,56815,49,14,84,133,1.0,20.0,329.0
0.998,0.6666666666666666,0.8571428571428571,0.75,56822,42,14,84,126,1.0,20.0,322.0
0.999,0.7410714285714286,0.8469387755102041,0.7904761904761906,56835,29,15,83,112,1.0,20.0,329.0
